KODS,TIPS_CD,NOSAUKUMS,VKUR_CD,VKUR_TIPS,APSTIPR,APST_PAK,STATUSS,SORT_NOS,DAT_SAK,DAT_MOD,DAT_BEIG,ATRIB,STD
"100445192","107","Sila iela","100003157","104","Y","252","EKS","Sila iela","2005.02.24","2009.06.30","","","Sila iela, Cēsis, Cēsu nov."
"100456293","107","Sila iela","100148006","106","Y","252","EKS","Sila iela","2004.10.07","2015.12.11","","","Sila iela, Ziemeļblāzma, Skultes pag., Limbažu nov."
"190029583","107","Sila iela","100209182","106","Y","252","EKS","Sila iela","2024.10.30","2024.12.02","","","Sila iela, Viesturciems, Glūdas pag., Jelgavas nov."
"100342050","107","Sila iela","100111645","106","Y","251","ERR","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Iecava, Iecavas nov."
"100392562","107","Sila iela","100186118","106","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Līči, Stopiņu pag., Ropažu nov."
"100375160","107","Sila iela","100003470","104","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Ogre, Ogres nov."
"100337860","107","Sila iela","100101417","106","Y","253","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Skrīveri, Skrīveru pag., Aizkraukles nov."
"100357825","107","Sila iela","100133750","106","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Zasa, Zasas pag., Jēkabpils nov."
"100435454","107","Sila iela","100110940","106","Y","252","EKS","Sila iela","2003.07.07","2021.06.30","","","Sila iela, Bārbele, Bārbeles pag., Bauskas nov."
"100353481","107","Sila iela","100128074","106","Y","252","EKS","Sila iela","1999.03.16","2021.06.30","","","Sila iela, Mežciems, Jaunsvirlaukas pag., Jelgavas nov."
"100386575","107","Sila iela","100003583","104","Y","252","EKS","Sila iela","1999.03.16","2025.07.07","","","Sila iela, Saulkrasti, Saulkrastu nov."
